name,slug,group_name,group_slug,group_description,short_blurb,subtitle,overview,strengths,challenges,analyzer_detects,ideal_tagline,famous_poets_disclaimer,famous_poets_copy
The Alchemist,the-alchemist,Visionaries,visionaries,"Driven by intuition, meaning, depth, and discovery. They interpret the unseen and pursue truths that cannot be reached directly.","Turns pain, memory, and longing into transformation.",The poet who makes beauty from what burns.,"The Alchemist turns feeling into transformation. Their poems often process pain, desire, memory, and change into language that feels intimate and redemptive.",emotionally powerful | deeply reflective | transforms difficulty into insight | often leaves readers changed,can become abstract | may over-intensify tone | symbolism can obscure clarity,"themes of rebirth, ruin, becoming | metaphoric transformation patterns | emotion-forward language with reflective closure",You turn feeling into transformation.,"Illustrative creative affinities, not official classifications.","Readers who connect with The Alchemist might resonate with Rumi, Sylvia Plath, and Seamus Heaney."
The Oracle,the-oracle,Visionaries,visionaries,"Driven by intuition, meaning, depth, and discovery. They interpret the unseen and pursue truths that cannot be reached directly.","Writes in symbols, signs, and hidden truths.",The poet who senses what lies beneath the surface.,"The Oracle writes as if truth arrives in flashes. Their work is intuitive, symbolic, and suggestive rather than explicit.",strong intuition | symbolic imagination | memorable atmosphere | timeless tonal quality,can become elusive | clarity may drop | mystique can overpower meaning,high symbolic density | dreamlike motifs and omens | implied meanings over direct statements,You write what cannot be said directly.,"Illustrative creative affinities, not official classifications.","This type often feels close in spirit to Emily Dickinson, Rumi, and T. S. Eliot."
The Architect,the-architect,Visionaries,visionaries,"Driven by intuition, meaning, depth, and discovery. They interpret the unseen and pursue truths that cannot be reached directly.","Crafts poems with precision, structure, and control.",The poet who builds with intention.,"The Architect values form. Their poems are deliberate, composed, and technically disciplined even when emotionally charged.",technical control | disciplined structure | precise diction | polished execution,can feel guarded | may over-polish | spontaneity can be limited,intentional line breaks | consistent rhythmic control | logical structural progression,You shape emotion with discipline.,"Illustrative creative affinities, not official classifications.","People drawn to this type might also admire Elizabeth Bishop, Robert Frost, and T. S. Eliot."
The Seeker,the-seeker,Visionaries,visionaries,"Driven by intuition, meaning, depth, and discovery. They interpret the unseen and pursue truths that cannot be reached directly.","Writes to search, question, and understand.",The poet always moving toward something deeper.,"The Seeker writes to discover. Their poems are driven by questions, longing, and the feeling that meaning is near but not fully grasped.",curious honesty | introspective depth | relatable longing | strong sense of journey,can feel unresolved | may revisit same questions | emotional center can stay diffuse,searching language and questions | themes of distance and becoming | movement-oriented emotional arc,You write to find what matters.,"Illustrative creative affinities, not official classifications.","This type may resonate with Walt Whitman, John Keats, and Seamus Heaney."
The Lover,the-lover,Romantics,romantics,"Guided by beauty, intimacy, devotion, and emotional atmosphere. Their work centers on feeling deeply and expressing that depth with resonance.","Led by intimacy, desire, and emotional connection.",The poet who writes from the heart outward.,"The Lover centers intimacy. Their poems are tender, desirous, and emotionally immediate, often shaped by devotion, longing, and memory.",deep emotional resonance | strong intimacy | memorable warmth | immediate reader connection,can drift into melodrama | may idealize relationships | intensity may outrun craft,themes of closeness and absence | sensory affection language | repeated relational focus,You write to touch and be touched.,"Illustrative creative affinities, not official classifications.","Readers who identify with this type might feel drawn to Pablo Neruda, Sappho, and John Keats."
The Dreamer,the-dreamer,Romantics,romantics,"Guided by beauty, intimacy, devotion, and emotional atmosphere. Their work centers on feeling deeply and expressing that depth with resonance.","Lives in atmosphere, wonder, and emotional possibility.",The poet who drifts between reality and imagination.,"The Dreamer writes in atmosphere. Their poems often feel luminous, wistful, and emotionally suspended between memory and imagination.",evocative mood-building | rich imagination | distinct aesthetic tone | transportive emotional space,can become vague | may avoid confrontation | substance can thin,impressionistic transitions | beauty-forward imagery | soft tonal continuity,You write what longing looks like in the air.,"Illustrative creative affinities, not official classifications.","This type often shares a similar energy with John Keats, Bashō, and Emily Dickinson."
The Muse,the-muse,Romantics,romantics,"Guided by beauty, intimacy, devotion, and emotional atmosphere. Their work centers on feeling deeply and expressing that depth with resonance.","Drawn to beauty, elegance, and emotional allure.",The poet who makes language feel magnetic.,"The Muse prioritizes beauty and tonal elegance. Their writing is often lyrical, polished, and emotionally attractive from the first line.",aesthetic fluency | quotable phrasing | image sensitivity | strong tonal cohesion,can favor beauty over depth | stylization may dominate | risk of performative refinement,lyrical precision | beauty-centered motifs | consistent elegance in phrasing,You make beauty feel alive.,"Illustrative creative affinities, not official classifications.","People close to this type may admire Sappho, Pablo Neruda, and Mary Oliver."
The Devotee,the-devotee,Romantics,romantics,"Guided by beauty, intimacy, devotion, and emotional atmosphere. Their work centers on feeling deeply and expressing that depth with resonance.","Writes with sincerity, reverence, and care.",The poet who honors what matters.,"The Devotee writes with reverence. Their poems return to what deserves care: memory, love, faith, grief, ritual, and place.",sincere emotional grounding | steady tenderness | reader trust | quietly moving depth,can become overly earnest | irony may be underused | emotional range may narrow,ceremonial repetition | sacred or reverent diction | subjects treated with sustained care,"You write with devotion, not distance.","Illustrative creative affinities, not official classifications.","This type might resonate with Mary Oliver, Rumi, and Walt Whitman."
The Confessor,the-confessor,Truth-Tellers,truth-tellers,"Defined by honesty, realism, and emotional courage. They face what hurts, what matters, and what deserves to be said.",Speaks with raw honesty and emotional exposure.,The poet who says what others avoid.,"The Confessor writes from exposure rather than distance. Their poems are direct, vulnerable, and emotionally fearless.",fearless honesty | high emotional impact | deep relatability | unforgettable intimacy,can overwhelm readers | craft may lag disclosure | vulnerability may overtake structure,first-person intensity | high disclosure density | low emotional masking,You write the truth before it is comfortable.,"Illustrative creative affinities, not official classifications.","Readers drawn here might resonate with Sylvia Plath, Anne Sexton, and Maya Angelou."
The Witness,the-witness,Truth-Tellers,truth-tellers,"Defined by honesty, realism, and emotional courage. They face what hurts, what matters, and what deserves to be said.",Observes the world with quiet depth and realism.,The poet who notices what others miss.,"The Witness writes through attention. Their poems preserve ordinary detail, social texture, and understated human truth.",keen observation | grounded realism | humane restraint | scene-based emotional resonance,can feel detached | emotion may stay implicit | recording can outweigh transformation,concrete sensory detail | external-world anchoring | meaning emerging through scene,You make the ordinary impossible to ignore.,"Illustrative creative affinities, not official classifications.","This type often feels close to Elizabeth Bishop, Langston Hughes, and Seamus Heaney."
The Rebel,the-rebel,Truth-Tellers,truth-tellers,"Defined by honesty, realism, and emotional courage. They face what hurts, what matters, and what deserves to be said.","Challenges convention, restraint, and falsehood.",The poet who writes against what feels dead.,"The Rebel resists the safe version. Their poems push against falsehood, inherited rules, and emotional or political silence.",bold originality | strong viewpoint | high risk tolerance | energizing force,can become reactionary | coherence may loosen | softness may be underused,confrontational diction | structural disruption | resistance-centered themes,You would rather disrupt than pretend.,"Illustrative creative affinities, not official classifications.","People drawn to this type might admire Allen Ginsberg, Audre Lorde, and Adrienne Rich."
The Mourner,the-mourner,Truth-Tellers,truth-tellers,"Defined by honesty, realism, and emotional courage. They face what hurts, what matters, and what deserves to be said.","Holds grief, memory, and tenderness with dignity.",The poet who gives sorrow a voice.,"The Mourner writes with elegiac gravity. Their poems hold endings, absence, and remembrance with tenderness and control.",emotional gravity | reflective depth | tender resonance | shared humanity in loss,tone can narrow | sorrow may dominate range | repetition risk,elegiac pacing | loss-centered motifs | lingering-memory structures,You know how to hold what is gone.,"Illustrative creative affinities, not official classifications.","This type may resonate with readers who love Sylvia Plath, Anne Sexton, and Elizabeth Bishop."
The Storyteller,the-storyteller,Makers,makers,"Shaped by craft, form, delivery, and design. They build poems with structural intention and compositional control.","Builds poems through scene, character, and unfolding.",The poet who moves through moments.,"The Storyteller thinks in scenes. Their poems unfold through sequence, character, and emotional progression.",narrative momentum | reader accessibility | strong emotional build | memorable movement,can become prose-like | language may trail plot | over-explaining risk,temporal sequencing | scene shifts | event-led emotional reveals,You make poems feel lived.,"Illustrative creative affinities, not official classifications.","This type might resonate with Maya Angelou, Langston Hughes, and Seamus Heaney."
The Minimalist,the-minimalist,Makers,makers,"Shaped by craft, form, delivery, and design. They build poems with structural intention and compositional control.","Uses restraint, silence, and precision for impact.",The poet who trusts what is left unsaid.,"The Minimalist writes with compression and intent. Their poems distill feeling into clean lines, controlled space, and exact language.",precision | clarity | high impact per line | disciplined tone control,can feel distant | context may thin | sparseness can limit access,short-line density | minimal ornamentation | meaning through omission,You know how little a poem needs to stay.,"Illustrative creative affinities, not official classifications.","Readers close to this type might appreciate Bashō, Emily Dickinson, and Robert Frost."
The Performer,the-performer,Makers,makers,"Shaped by craft, form, delivery, and design. They build poems with structural intention and compositional control.","Writes with rhythm, voice, and spoken energy.",The poet who knows how a line lands out loud.,"The Performer writes for breath and impact. Their poems carry cadence, momentum, and oral presence.",vocal force | memorable cadence | audience impact | quotable lines,can prioritize punch over depth | subtlety may drop | rhetorical overdrive risk,cadential repetition | spoken-word momentum | high-impact line endings,You write to be heard and remembered.,"Illustrative creative affinities, not official classifications.","This type often shares energy with Maya Angelou, Langston Hughes, and Allen Ginsberg."
The Weaver,the-weaver,Makers,makers,"Shaped by craft, form, delivery, and design. They build poems with structural intention and compositional control.","Braids image, meaning, and emotion into layered work.",The poet who connects everything beneath the surface.,"The Weaver creates layered coherence. Their poems braid symbol, thought, memory, and emotional tension into textured wholes.",rich thematic integration | complex emotional range | high reread value | strong motif architecture,can become dense | central point may blur | reader load can rise,interlocking motifs | multi-layer emotional structure | cohesive symbolic braiding,"You make complexity feel woven, not scattered.","Illustrative creative affinities, not official classifications.","People who identify with this type may be drawn to Adrienne Rich, T. S. Eliot, and Emily Dickinson."
